ID,Name,Elo
102,Villanova,657.5686931994142
242,Kansas,650.2020558804585
48,Kentucky,636.3019699432945
180,Virginia,626.0000590540161
98,Oregon,618.7712592175056
130,Gonzaga,617.420784301377
50,North Carolina,611.9098862335757
46,Arizona,608.9220883181848
2,Valparaiso,592.8750067458928
196,Xavier,588.2002716963979
154,Utah,586.2073115379495
406,Oklahoma,583.5006830196229
232,Duke,583.248774205785
238,Maryland,579.7290618774465
222,West Virginia,579.220521451138
234,Chattanooga,575.3520622213891
28,Wisconsin,574.7732519314753
667,Michigan State,571.1845515595179
214,Dayton,571.0789963643291
116,Louisville,569.1075218334903
286,Purdue,563.4018457784114
30,Notre Dame,561.1480475552712
62,SF Austin,558.7580277852355
343,Northern Iowa,555.2259294519602
74,Texas A&M,555.2243367696348
112,Hawaii,552.7418349474792
308,Stony Brook,549.5545870829707
210,Wichita St,546.2926556806079
306,Indiana,546.2008161612918
229,Yale,545.6059814457053
738,Stephen F. Austin,544.1247373299785
120,SMU,539.2147237721067
122,Baylor,538.6603859271954
651,Saint Mary's (CA),537.7487995468969
773,Miami (FL),537.2846960677266
825,Arkansas-Little Rock,537.0271083179364
52,Akron,535.7734969991221
261,Murray St,535.1549804407755
650,Saint Joseph's,533.5608622575975
401,Seton Hall,532.0930382337723
164,Connecticut,531.1754287068902
327,Providence,530.5533661415416
168,Iona,529.4428988254492
364,Butler,528.3796163162768
250,Temple,527.3977498448488
813,Southern Methodist,526.8300433402046
675,North Carolina-Wilmington,522.6452371555015
336,Colorado St,521.076872765399
258,Cincinnati,519.2738589653228
244,Iowa St,519.1994695444432
20,Louisiana Tech,518.5507413458103
172,Princeton,518.4162327102865
787,Fresno State,516.3485157164796
653,San Diego State,516.0528130602502
697,South Dakota State,515.5839120636917
124,Iowa,515.4607497463587
90,San Diego St,514.3856646746281
56,Hofstra,514.3176048191679
347,Davidson,514.2221144939975
686,Monmouth,514.0159678942101
752,University of California,513.6954644029151
694,Wichita State,513.0716391530249
268,Texas,513.0612345063313
737,Alabama-Birmingham,511.9544645493354
290,South Carolina,509.4429548661184
711,Texas A&M-Corpus Christi,509.3050713053113
224,VA Commonwealth,508.8155987271655
393,UC Davis,508.6437842834604
110,Boise St,508.5312434633833
320,Tulsa,508.3900073124297
49,Grand Canyon,506.8906930550976
58,Georgia St,505.9641941393069
248,Buffalo,505.5445561885818
374,Evansville,505.3061230455849
685,Virginia Commonwealth,504.91591898183697
262,BYU,504.8962438705525
353,Old Dominion,503.923470849677
693,Weber State,503.54779597429166
136,E Washington,502.2674503534376
204,Sam Houston St,500.8856187889836
328,Albany NY,500.1753289416533
714,St. Bonaventure,499.8459918023474
363,Winthrop,499.50865763710544
819,Cal State Bakersfield,498.89906896038025
187,Georgia,496.73143274189607
106,High Point,496.4643148251033
748,UC-Irvine,495.71323371013824
51,NC Central,492.9487047272829
174,Pittsburgh,492.940641374401
868,Middle Tennessee,492.7838395127082
